origen,destino,nombre_calle,distancia,direccion,factor_trafico
282481394,4010448614,Boulevard Liberación,117.54,norte-oeste,1.0
282481394,283273731,2a Avenida,99.91,norte-este,1.0
282481401,479440916,Boulevard Liberación,379.54,norte-oeste,1.0
282481412,476530674,Boulevard Liberación,311.59,sur-este,1.0
282481420,410449191,Boulevard Liberación,103.95,sur-este,1.0
283273731,282481394,2a Avenida,99.91,sur-oeste,1.0
283273731,4010448618,13 Calle,72.7,norte-oeste,1.0
283273733,808125500,11 Calle,9.96,norte-oeste,1.0
283273736,1972994298,11 Calle,125.25,norte-oeste,1.0
315750150,479440906,Calle Montúfar,11.78,sur-este,1.0
315750150,4087230806,5a Avenida,139.56,sur-oeste,1.0
323102405,528223226,Avenida Las Américas,41.89,sur-oeste,1.0
323102405,3820014868,5a Calle,22.33,sur-oeste,1.0
323585956,412198254,11 Calle,108.12,norte-oeste,1.0
410407928,6037880180,12 Calle,20.01,norte-este,1.0
410407928,3820122587,Sin nombre,18.61,sur-este,1.0
410407928,410451991,Avenida Reforma,136.73,sur-oeste,1.0
410414371,410414372,Plaza Obelisco,14.25,sur-oeste,1.0
410414372,11839402225,Boulevard Liberación,39.77,sur-oeste,1.0
410414372,410450475,Plaza Obelisco,168.44,sur-oeste,1.0
410414411,410453366,Avenida Reforma,143.52,norte-este,1.0
410417455,282481412,Boulevard Liberación,49.97,sur-este,1.0
410443328,7127559418,6a Avenida,8.63,sur-oeste,1.0
410443328,12636185688,14 Calle,9.99,sur-este,1.0
410447626,726943232,"['5a Avenida', '14 Calle A']",215.8,norte-oeste,1.0
410447626,282481401,6a Avenida,164.49,sur-oeste,1.0
410447728,957679530,Avenida Hincapié,117.3,sur-oeste,1.0
410448234,528176344,Avenida Hincapié,20.14,sur-oeste,1.0
410449191,410449457,Boulevard Liberación,28.81,sur-este,1.0
410449457,410450390,Boulevard Liberación,84.82,sur-este,1.0
410449457,528223218,15 Avenida,335.15,sur-oeste,1.0
410449457,289764727,"['Boulevard Liberación', 'Boulevard Los Próceres']",361.77,sur-este,1.0
410449859,2026383067,7a Avenida,86.05,norte-oeste,1.0
410449859,476530754,Boulevard Liberación,40.05,norte-oeste,1.0
410450106,528176508,Sin nombre,29.72,sur-oeste,1.0
410450106,528202630,15 Avenida,17.26,sur-oeste,1.0
410450390,631825279,Boulevard Liberación,52.66,sur-este,1.0
410450393,9716924063,Sin nombre,342.93,norte-este,1.0
410450393,410450390,15 Avenida,149.65,norte-este,1.0
410450394,4038754534,15 Avenida,70.37,norte-este,1.0
410450475,528223370,Avenida Las Américas,48.89,sur-oeste,1.0
410451991,3835760570,Avenida Reforma,55.93,sur-oeste,1.0
410451991,13206194903,13 Calle,165.02,norte-oeste,1.0
410452879,2026383067,16 Calle,217.89,norte-oeste,1.0
410452879,11825812432,Avenida Reforma,129.96,sur-oeste,1.0
410453224,4696504126,Avenida Reforma,27.36,sur-oeste,1.0
410453366,4029058302,Avenida Reforma,81.31,norte-este,1.0
410456359,410461982,6a Avenida,141.78,sur-oeste,1.0
410456359,412197887,11 Calle,131.25,norte-oeste,1.0
410461952,410462008,6a Avenida,12.84,sur-oeste,1.0
410461952,1909302012,Calle Montúfar,47.61,sur-este,1.0
410461982,410462006,6a Avenida,12.84,sur-oeste,1.0
410461982,412197885,Calle Montúfar,129.75,norte-oeste,1.0
410461982,410461952,Calle Montúfar,14.18,sur-este,1.0
410462006,479440922,6a Avenida,139.86,sur-oeste,1.0
410462006,410462008,Calle Montúfar,14.22,sur-este,1.0
410462008,990336926,Calle Montúfar,47.76,sur-este,1.0
410462008,956415284,6a Avenida,139.95,sur-oeste,1.0
410698239,528214431,11 Calle,28.57,norte-oeste,1.0
410698239,528214672,Avenida Las Américas,73.66,sur-oeste,1.0
410698241,528223050,Avenida Las Américas,111.95,sur-oeste,1.0
412197885,412198003,Calle Montúfar,11.64,norte-oeste,1.0
412197885,412197887,5a Avenida,142.09,norte-este,1.0
412197887,412198005,11 Calle,11.9,norte-oeste,1.0
412198003,315750150,5a Avenida,12.5,sur-oeste,1.0
412198003,1909302002,Calle Montúfar,69.97,norte-oeste,1.0
412198005,1909301998,11 Calle,70.17,norte-oeste,1.0
412198005,412198003,5a Avenida,141.65,sur-oeste,1.0
412198043,283273733,11 Calle,108.98,norte-oeste,1.0
412198045,412198043,3a Avenida,140.08,norte-este,1.0
412198045,479440997,Calle Montúfar,108.64,norte-oeste,1.0
412198057,412198043,11 Calle,70.06,norte-oeste,1.0
412198062,412198057,4a Avenida,141.33,norte-este,1.0
412198062,412198045,Calle Montúfar,69.64,norte-oeste,1.0
412198093,412198057,11 Calle,39.78,norte-oeste,1.0
412198254,1909302010,11 Calle,21.13,norte-oeste,1.0
413315361,4066848948,"['Avenida Las Américas', 'Plaza Obelisco']",244.96,norte-este,1.0
476530617,410447728,Avenida Hincapié,88.92,sur-este,1.0
476530617,6145873709,Sin nombre,72.28,sur-este,1.0
476530674,410447728,Sin nombre,179.21,sur-este,1.0
476530674,282481420,Boulevard Liberación,70.5,sur-este,1.0
476530754,12079442910,7a Avenida,147.84,norte-este,1.0
476530754,10858926469,Boulevard Liberación,127.84,norte-oeste,1.0
476530766,10858926469,Boulevard Liberación,299.34,norte-oeste,1.0
476530766,5397068453,Sin nombre,306.31,norte-oeste,1.0
